"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"158",11,"C.J. Ham",MIN,"13","5 out of 5 stars","-"
"159",11,"Reggie Gilliam",BUF,"13","2 out of 5 stars","-"
"160",11,"Avery Williams",ATL,"11","4 out of 5 stars","-"
"161",11,"Jermar Jefferson",DET,"9","5 out of 5 stars","-"
"162",11,"J.J. Taylor",NE,"11","2 out of 5 stars","-"
"163",11,"Michael Burton",DEN,"9","4 out of 5 stars","-"
"164",11,"Tyler Goodson",GB,"6","4 out of 5 stars","-"
"165",11,"Spencer Brown",CAR,"7","4 out of 5 stars","-"
"166",11,"Jakob Johnson",LV,"13","3 out of 5 stars","-"
"167",11,"Emanuel Wilson",GB,"6","4 out of 5 stars","-"
"168",11,"Mike Davis",FA,"-","-","-"
"169",11,"La'Mical Perine",KC,"10","4 out of 5 stars","-"
"170",12,"Malcolm Brown",FA,"-","-","-"
"171",12,"Aidan Borguet",FA,"-","-","-"
"172",12,"Adam Prentice",NO,"11","4 out of 5 stars","-"
"173",12,"Emari Demercado",ARI,"14","3 out of 5 stars","-"
"174",12,"Godwin Igwebuike",ATL,"11","4 out of 5 stars","-"
"175",12,"Tevin Coleman",FA,"-","-","-"
"176",12,"Patrick Laird",TB,"5","3 out of 5 stars","-"
"177",12,"Darius Hagans",PIT,"6","3 out of 5 stars","-"
"178",12,"Nick Bawden",NYJ,"7","3 out of 5 stars","-"
"179",12,"Khari Blasingame",CHI,"13","5 out of 5 stars","-"
"180",12,"Jordan Mims",BUF,"13","2 out of 5 stars","-"
